2026-04-07 10:10:23,416 - api - INFO - FastAPI crawler service starting
2026-04-07 10:10:23,423 - ai_worker - INFO - Khởi động Siêu AI Worker Săn Kèo Thơm (chạy ngầm)...
2026-04-07 10:10:23,470 - ai_worker - INFO - Đã bỏ qua 3 items quá hạn (cũ hơn 180 phút).
2026-04-07 10:10:33,986 - priority_calculator - INFO - Loaded 13 regions and 61 categories
2026-04-07 10:10:33,986 - priority_calculator - INFO - Calculating priority for 156 routes...
2026-04-07 10:10:34,439 - priority_calculator - INFO - Route Giày dép in Quảng Nam Đà Nẵng: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,460 - priority_calculator - WARNING - No ads found for category 3060, region 11
2026-04-07 10:10:34,460 - priority_calculator - INFO - No ads available for category 3060, region 11
2026-04-07 10:10:34,461 - priority_calculator - INFO - Route Phụ tùng xe in Đông Nam Bộ: avg_interval=1489.00s, priority=44
2026-04-07 10:10:34,462 - priority_calculator - INFO - Route Phụ tùng xe in Tây Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,462 - priority_calculator - WARNING - No ads found for category 3090, region 11
2026-04-07 10:10:34,462 - priority_calculator - INFO - No ads available for category 3090, region 11
2026-04-07 10:10:34,463 - priority_calculator - INFO - Route Giày dép in Các tỉnh lân cận Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,482 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Cần Thơ - Tây Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,485 - priority_calculator - INFO - Route Phụ tùng xe in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,485 - priority_calculator - INFO - Route Giày dép in Hải Phòng Nam Định Thái Bình: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,487 - priority_calculator - INFO - Route Phụ tùng xe in Quảng Nam Đà Nẵng: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,488 - priority_calculator - INFO - Route Giày dép in Đông Nam Bộ: avg_interval=3008.00s, priority=0
2026-04-07 10:10:34,489 - priority_calculator - INFO - Route Phụ tùng xe in Cần Thơ - Tây Nam Bộ: avg_interval=2175.00s, priority=0
2026-04-07 10:10:34,490 - priority_calculator - INFO - Route Phụ tùng xe in Bình Trị Thừa Thiên Huế: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,491 - priority_calculator - INFO - Route Phụ tùng xe in Nam Trung Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,491 - priority_calculator - INFO - Route Phụ tùng xe in Thanh Nghệ Tĩnh: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,495 - priority_calculator - INFO - Route Giày dép in Bình Trị Thừa Thiên Huế: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,498 - priority_calculator - INFO - Route Giày dép in Tây Nguyên: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,499 - priority_calculator - INFO - Route Giày dép in Nam Trung Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,499 - priority_calculator - INFO - Route Giày dép in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,501 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Nam Trung Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,502 - priority_calculator - INFO - Route Phụ tùng xe in Hải Phòng Nam Định Thái Bình: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,502 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Hải Phòng Nam Định Thái Bình: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,503 - priority_calculator - INFO - Route Phụ tùng xe in Các tỉnh lân cận Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,503 - priority_calculator - INFO - Route Giày dép in Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,504 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Các tỉnh lân cận Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,505 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Tp Hồ Chí Minh: avg_interval=98.50s, priority=245
2026-04-07 10:10:34,505 - priority_calculator - INFO - Route Giày dép in Cần Thơ - Tây Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,508 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Hải Phòng Nam Định Thái Bình: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,509 - priority_calculator - INFO - Route Phụ tùng xe in Tp Hồ Chí Minh: avg_interval=281.00s, priority=218
2026-04-07 10:10:34,510 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Thanh Nghệ Tĩnh: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,510 - priority_calculator - INFO - Route Phụ tùng xe in Hà Nội: avg_interval=1800.00s, priority=0
